# loc	class	extra_presses	chars_to_cut	jp_waits	en_waits	en
11:$7648	SILENT	1	21	0	1	Rokuro: It was lying on<br> the back hill, so I<br> picked it up.<end><brk> It is no use to me, so<br> you have it.
11:$7998	SILENT	1	19	0	1	Innkeeper: Keyaki will<br> come back, I am sure.<end><brk> Laughing brightly, as<br> if nothing had<br> happened.
11:$7AE2	SILENT	1	19	0	1	Innkeeper: Keyaki will<br> come back, I am sure.<end><brk> Laughing brightly, as<br> if nothing had<br> happened.
14:$7A1E	SILENT	1	17	0	1	Koppa: Come to think of<br> it, I understand<br> animals.<end><brk> Let us talk to the ones<br> in the village.
11:$56E8	SILENT	1	16	0	1	Nagi: Fumi, are you<br> hurt? It must have been<br> awful...<end><brk> But I am glad. Glad you<br> are safe...
11:$6826	SILENT	1	16	0	1	Innkeeper: Honestly, are<br> there no men at all in<br> this village!<end><brk> Spineless, the lot of<br> you!
14:$6256	SILENT	1	15	0	1	Kinji: Gran. Building<br> that Warehouse has made<br> me hungry again.<end><brk> Have we anything to<br> eat?
14:$5A7D	SILENT	1	14	0	1	Nagi: Hmph! Go back on<br> your own. I will do it<br> by myself.<end><brk> M-monsters do not scare<br> me...
14:$7AFB	SILENT	1	13	0	1	Koppa: That Kinji... he<br> did it on purpose.<end><brk> To make Keyaki say how<br> she really feels...
11:$6B04	SILENT	1	13	0	1	Yoshizota: They say<br> Orochi is a tough one,<end><brk> but I reckon you can<br> manage it. Good luck!
11:$6FE5	SILENT	1	13	0	1	Masa: If you cannot save<br> Nagi, no one will blame<br> you.<end><brk> You are an outsider,<br> after all.
14:$688A	SILENT	1	12	0	1	Innkeeper: Kinji came by<br> just now.<end><brk> He has something to<br> tell <name>, so come to<br> the shrine.
14:$756B	SILENT	1	8	0	1	Rooster: Gakk, cluck<br> cluck...<end><brk> (Urgh. Even I must run<br> out of strength at<br> last...)
14:$7BC2	SILENT	1	7	0	1	Koppa: Brrr... What a<br> frightening place that<br> was.<end><brk> Let us get home, and<br> quickly.
11:$6547	SILENT	1	7	0	1	Old Seer: Orochi dwells<br> at Kuyo Pass.<end><brk> Together with the<br> monsters that serve it.
14:$75EC	SILENT	1	3	0	1	Tanmomo: Meow!<end><brk> (I am a cat of the<br> first order. Tanmomo?<br> What a silly name!)
