# Strings OBSERVED being read by a copy loop that expands DTE.
# Generated by `gbrun.py <rom> --dte-scan --append script/dte_ok.tsv`, which watches
# the BUILT rom and translates addresses back through build/relocmap.tsv.
# Do not edit by hand: an unobserved string here renders DTE codes as raw glyphs.
# ``# BLOCK`` is different: it records an observed candidate that was deliberately
# rejected after compression changed the global table/repacking and the rescued-child
# route failed.  gbrun will not append these again unless the block is intentionally
# removed and the full route battery is rerun.
# BLOCK 11:$53D4 rescued-child route regression, 2026-08-09
# BLOCK 13:$464A rescued-child route regression, 2026-08-09
# BLOCK 13:$46A0 rescued-child route regression, 2026-08-09
# BLOCK 13:$46C1 rescued-child route regression, 2026-08-09
# BLOCK 13:$4AD2 rescued-child route regression, 2026-08-09
# BLOCK 13:$4AD6 rescued-child route regression, 2026-08-09
# BLOCK 13:$4C08 rescued-child route regression, 2026-08-09
# BLOCK 14:$59E2 redirected stager entry; rescued-child route regression, 2026-08-09
# BLOCK 14:$5A59 redirected stager entry; rescued-child route regression, 2026-08-09
# BLOCK 14:$5AF5 overlapping runtime parent; rescued-child route regression, 2026-08-09
# BLOCK 14:$5AFD runtime interior entry; rescued-child route regression, 2026-08-09
# BLOCK 14:$70A0 redirected stager entry; rescued-child route regression, 2026-08-09
# loc	site
11:$5330	0:$00CC raw string copy
11:$533B	0:$00CC bank 11 menu labels
11:$5344	0:$00CC raw string copy
11:$534D	0:$00CC raw string copy
11:$5355	0:$00CC raw string copy
11:$535E	0:$00CC raw string copy
11:$536E	0:$00CC raw string copy
11:$5374	0:$00CC bank 11 menu labels
11:$537F	0:$00CC raw string copy
11:$53A1	0:$00CC raw string copy
11:$53A6	0:$00CC raw string copy
11:$53B1	0:$00CC raw string copy
11:$53B9	0:$00CC raw string copy
11:$53FA	0:$00CC raw string copy
11:$5401	0:$00CC raw string copy
11:$5412	0:$00CC raw string copy
11:$5425	0:$00CC raw string copy
13:$456F	13:$40D8 composer 18-cell loop
13:$461A	13:$40D8 composer 18-cell loop
13:$463F	13:$40D8 composer 18-cell loop
13:$46AC	13:$40D8 composer 18-cell loop
13:$46AF	13:$40D8 composer 18-cell loop
13:$46BA	13:$40D8 composer 18-cell loop
13:$4792	13:$40D8 composer 18-cell loop
13:$48FF	13:$40D8 composer 18-cell loop
13:$4B66	13:$40D8 composer 18-cell loop
13:$4B6B	13:$40D8 composer 18-cell loop
13:$4B7E	13:$40D8 composer 18-cell loop
13:$4B82	13:$40D8 composer 18-cell loop
13:$4B94	13:$40D8 composer 18-cell loop
13:$4B9C	13:$40D8 composer 18-cell loop
13:$4BA7	13:$40D8 composer 18-cell loop
13:$4BB4	13:$40D8 composer 18-cell loop
13:$4BC2	13:$40D8 composer 18-cell loop
13:$4C2D	13:$40D8 composer 18-cell loop
13:$51E3	13:$40D8 composer 18-cell loop
13:$51F9	13:$40D8 composer 18-cell loop
13:$520F	13:$40D8 composer 18-cell loop
30:$7EC3	30:$7E8A table (static)
30:$7EC6	30:$7E8A table (static)
30:$7EC9	30:$7E8A table (static)
30:$7ECC	30:$7E8A table (static)
30:$7ECF	30:$7E8A table (static)
30:$7ED4	30:$7E8A table (static)
30:$7ED9	30:$7E8A table (static)
30:$7EDD	30:$7E8A table (static)
30:$7EE0	30:$7E8A table (static)
30:$7EE5	30:$7E8A table (static)
30:$7EE8	30:$7E8A table (static)
30:$7EEB	30:$7E8A table (static)
30:$7EF0	30:$7E8A table (static)
30:$7EF3	30:$7E8A table (static)
30:$7EF7	30:$7E8A table (static)
30:$7EFC	30:$7E8A table (static)
30:$7EFD	30:$7E8A table (static)
30:$7EFE	30:$7E8A table (static)
30:$7F02	30:$7E8A table (static)
30:$7F07	30:$7E8A table (static)
30:$7F08	30:$7E8A table (static)
31:$41D0	31:$40E4 menu box row drawer
31:$41D4	31:$40E4 menu box row drawer
31:$41DC	31:$40E4 menu box row drawer
31:$41E9	31:$40E4 menu box row drawer
31:$41F6	31:$40E4 menu box row drawer
31:$422F	31:$40E4 menu box row drawer
31:$423C	31:$40E4 menu box row drawer
31:$4356	31:$40E4 menu box row drawer
31:$43DC	31:$40E4 menu box row drawer
31:$43E4	31:$40E4 menu box row drawer
# ---- item category boxes 33 (consumables) and 34 (equipment) --------------------
# Observed, not assumed. No button script reaches this screen from either save state,
# so the screen was driven directly: bank 4's menu-screen dispatcher at 4:$48AA takes a
# screen index in `a` (35-entry table at 4:$48C3) and index 27 is $4CD0, the routine that
# shows box 33 or 34 according to $C6E3. Forcing that index makes the REAL routine draw
# the REAL box through the REAL drawer -- only the navigation is synthetic, and what the
# drawer then reads is observed exactly as every other entry here is.
# Reproduce: tools/boxscan.py build/shiren_en.gb --page 0   (and --page 1)
31:$446E	31:$40E4 menu box row drawer
31:$4472	31:$40E4 menu box row drawer
31:$4478	31:$40E4 menu box row drawer
31:$447C	31:$40E4 menu box row drawer
31:$4481	31:$40E4 menu box row drawer
31:$448F	31:$40E4 menu box row drawer
31:$4494	31:$40E4 menu box row drawer
31:$4498	31:$40E4 menu box row drawer
31:$449E	31:$40E4 menu box row drawer
31:$44A1	31:$40E4 menu box row drawer
14:$5037	14:$400D bank 14 dialogue stager -> $CF8F
14:$5047	14:$400D bank 14 dialogue stager -> $CF8F
14:$5106	14:$400D bank 14 dialogue stager -> $CF8F
14:$5127	14:$400D bank 14 dialogue stager -> $CF8F
31:$44F7	31:$40E4 menu box row drawer
