# Shiren GB — translation file. Keyed on `loc`, one string per line.
#
# READ `TRANSLATING.md` FIRST. It covers the three storage classes, the measured
# per-renderer Dot Gothic limits, the character set, control tokens, and every error
# build/worklist.tsv can print. `VWF_BUDGETS.md` is the canonical fit register.
#
# KEY IS `loc` (bank:$addr), never the sequential id: ids are reassigned by sorted
# offset, so any change to extraction silently shifts an id-keyed file by one entry.
#
# Length: these are almost all table-referenced, so storage is not the limit — the tool
# relocates them. Display limits are measured per path: pixels, source staging, temporary
# tiles, and runtime substitutions. Do not infer one universal character/cell budget.
#
# loc	english

# ---- title / file menu ----
11:$5330	Adventure
11:$533B	New Log
11:$5344	Copy Log
11:$534D	Erase Log
11:$5355	Rename
11:$535E	Rank/Pass
11:$536E	Replay
11:$5374	Fay's Puzzles
11:$5387	Erase log?
11:$5398	Log

# ---- difficulty ----
11:$53A1	Easy
11:$53A6	Normal
11:$53AA	Hard
11:$5459	Expert

# ---- places ----
11:$53B1	Moonlight
11:$53B9	Forest
11:$53C1	Koma Cave
11:$53CB	Crags
11:$53D4	Kuyo Pass
11:$53DC	Dragon's Maw
11:$53E5	Orochi
11:$53ED	Moon Exit

# ---- in-game action menu ----
11:$53FA	Item
11:$5401	Floor
11:$5407	Trap
11:$540B	Stair
11:$5412	Map
11:$5418	Close
11:$541E	Exit
11:$5425	Quit
11:$542A	Down
11:$542F	Up
11:$5435	Go
11:$543A	Stay
11:$5440	Step
11:$5444	Rank
11:$544C	Pass

# ---- item action menu (bank 30), boxes 6 and 39.
# V4C restores boxes 6/39 to the Japanese x=13,w=5 geometry. Byte 0 remains the raw
# cursor cell, while the proportional reader scans the complete staged verb and paints
# it into the remaining 32px. `Remove` is the exact-edge 40px row including the cursor.
30:$7EC3	Eat
30:$7EC6	Read
30:$7EC9	Wave
30:$7ECC	See
30:$7ECF	Eat
30:$7ED4	Equip
30:$7ED9	Put
30:$7EDD	Push
30:$7EE0	Toss
30:$7EE5	Drop
30:$7EE8	Tag
30:$7EEB	Info
30:$7EF0	Fire
30:$7EF3	Name
30:$7EF7	Swap
# Recovered 2026-07-29: the pointer table was being read as 15 entries, so these three were
# invisible. They are LIVE -- ひろう and だす come from the category tables at 30:$7E14 and
# $7E40, はずす from the equip/remove substitution at 30:$7D73.
30:$7EFE	Take
30:$7F02	Remove
30:$7F08	Get

# ---- status / pause screen (bank 31 menu boxes) ----
# One line per BOX ROW. The rows of a box are one allocation, so a box that anything
# points at can grow; box 2 is pinned (see script.json `box.pinned`) and each of its rows
# is limited to its original cell count.
#
# These addresses used to be a byte-count guess away from the truth: 31:$41E2 and
# 31:$4414 were the DESCRIPTOR of the box below them, and the translation had to carry
# six or eight <$XX> layout bytes to step over it. Now that box_descriptors() finds the
# real row starts, the descriptor is data again and the text begins where it says.
#
# 31:$41F6 is a composite: two labels sharing one row, split by the vertical bar glyph
# $B6. The <$B6> token emits that byte verbatim so the column layout survives.
# Box 1 is 11 cells and the VALUE is drawn right-aligned on the row BELOW its label
# (screenshot: "Gld" then "0G" beneath it), so the label has all 11 cells to itself.
# There was no reason for three-letter abbreviations here.
31:$41D0	Gitan
31:$41D4	Floor
# なんいど = 難易度, "difficulty level". The game calls its difficulty choices dungeon
# paths elsewhere, so "Path" is both compact and consistent with that terminology.
31:$41DC	Path
31:$41E9	Weapon  <$B6>Str
31:$41F6	Shield  <$B6>Exp
4:$4AFE	Gld

# ---- difficulty select (box 29) ----
# The tool prepends the cursor space itself where the original row starts with one, so
# these are one cell narrower than the box. "Normal" needs a 7-wide box; the cursor follows
# the box now, so it fits.
31:$441B	Easy
31:$4421	Normal
31:$4426	Hard

# ================================================================================
# BANK 31 MENU BOXES
# One line per box ROW. Budgets come from two places and both are checked:
#   - the box `width` (box_geometry.tsv overrides it) -- how much the drawer will draw
#   - for a PINNED box, the original cell count -- pinned rows cannot grow, because a
#     second reader points into the middle of the block and relocating it would leave
#     that pointer stale. `pinned` is in script.json under each row's `box`.
# ================================================================================

# ---- inventory titles (each its own one-row box) ----
31:$4356	Items
31:$4385	Pot
31:$4390	Floor
31:$422F	Which?

# ---- close / exit menus ----
31:$43A3	Close
31:$43A9	Quit
31:$43B5	Close
31:$43BB	Exit
31:$43C2	Quit

# ---- item categories: box 33 consumables, box 34 equipment ----
# HELD BACK -- these do not fit, and not for want of total space. Bank 31's descriptors sit
# between the text blocks, so its free pool is a set of runs of at most 26 bytes, and these
# two boxes need 32 and 38 contiguous. build.py reports it as fragmentation, not shortfall.
#
# The 116 contiguous bytes of the katakana grid page are what unlocks them; see HANDOFF.md.
# Uncomment together with a width of 7 for both boxes in box_geometry.tsv.
31:$446E	Herb
31:$4472	Scroll
31:$4478	Staff
31:$447C	Pot
31:$4481	Food
31:$448F	Weapon
31:$4494	Shield
31:$4498	Bracer
31:$449E	Arrow
31:$44A1	Misc.

# ---- one-row menu messages ----
# These use their measured box shapes and approved proportional pixels. `build.py` checks the
# source row; `fontaudit.py` and the menu spill tests check physical width and allocation.
31:$423C	No items held.
31:$436A	No more names.
31:$44BB	Pack is full.
31:$4453	Which task?
31:$44D1	No awards.

# ---- Fay's Puzzles header (box 30, row 0, 18 cells) ----
# `だい   もん  なんいど` is `Question No. _` + `Difficulty`, and TWO other bits of code
# write into this row. Both columns were MEASURED off the screen's own tilemap rather
# than guessed, after the first attempt put `Difficulty` over one of them:
#
#   cells 2-4   the task number, right-aligned (a `1` landed on cell 4)
#   cell 13+    the difficulty stars (tile $8A, which is not a font tile at all)
#
# So the label has cells 7-12 -- six -- and `Difficulty` needs ten. `Rating` is the
# reading that fits a star row and does not collide with Shiren's own `Lv`.
31:$4435	No     Rating

# ---- title screen: start menu, rankings, dungeon entrances ----
31:$43DC	Continue
31:$43E4	New Game
31:$45CA	New Game
31:$440B	No
31:$4410	Yes
31:$44F7	Rankings
31:$4549	Kuyou
31:$4552	Village Exit
# "Kuyou Pass" would make this box 26 bytes, and the only 26-byte run in bank 31 is the
# one box 33 needs. 26+24 into 26+23 does not fit however it is ordered.

# ---- difficulty explanations (boxes 46/48/50) ----
# Row 2 of each is centred by hand in the original; one leading space is re-added, the
# rest is up to the text.
31:$4526	New
31:$452C	to Shiren series
# ~~Box 48 is NOT translatable in place.~~ It is, as of 2026-08-05. It was never the
# 20-bytes-in-an-18-cell-box arithmetic that blocked it -- that only bites a row that
# cannot MOVE, and box 48 was only immovable because extraction pinned it by mistake.
# `31:$755B ld bc,$4571 / call $028B` is a message-queue push, so `$4571` is a BANK 13
# address (`<cE0:2B>とっぷうだ！！`), not a pointer into this block. box_interior_targets
# now asks msg_push_kind before believing an operand. Boxes 50 and 51 came unpinned with
# it. Joey reported this screen, and he was right that no text location should be
# permanently untranslatable.
31:$4567	Played a Shiren
31:$457C	game before
31:$459E	Cleared Shiren
31:$45AF	on Super Famicom

# ---- name-entry page label + menu words (boxes 12 and 13, row 0) ----
# The three words are SELECTABLE, and the picker maps cursor positions to columns, so
# these keep the original column layout exactly: label at 0-3, then 6-8, 10-12, 15-17.
# Moving them would move what the cursor lands on.
#
# Box 13 -- the second page -- is now ALIASED to box 12 in script/box_alias.tsv, so it has
# no rows of its own to translate and this key would match no string. Its 116 bytes are
# what let the item category boxes keep "Staff". The old page branch still resolves to
# this same grid, but the visible toggle action is retired because there is no second
# English character set.
31:$4261	      Fwd Bck  End
