"# Shiren GB — THE GLOSSARY. 391 item, monster, appearance and NPC names."			
#			
"# WHY THIS FILE EXISTS, AND WHY IT IS FROZEN"			
#			
"# `こんぼう` is an item name, a line of help text, a combat message and a shop's dialogue."			
"# Translated batch by batch it becomes Club / Cudgel / Stick, and review cannot catch that"			
"# -- catching it means holding 1,263 strings in your head at once. So the names are"			
"# translated ONCE, here, and every later batch takes them as a constraint."			
# `tools/lint_en.py --glossary` enforces it: if a Japanese string contains a glossary			
"# term, the English must use the frozen rendering."			
#			
"# HOUSE STYLE, decided by Joey 2026-08-04"			
#			
#   * Names read as modern official Shiren English -- plain and meaning-first -- rather			
"#     than as the Aeon Genesis SNES romanisations. `ひとつめゴロシ` is ""One-Eye Killer"","			
"#     not ""Hitotsume Goroshi""."			
"#   * The CATEGORY nouns are Aeon Genesis', so the two projects agree where it is cheapest"			
#     for them to: Herb / Bracer / Staff / Pot / Scroll. (`~/Documents/Workplace/Shiren/			
"#     shiren-revamp-fixes/text/{itemnames,enemynames}.asm` is the sibling's table.)"			
#   * A tier family reads as a family: Rat Minion / Rat Boss / Rat Kingpin.			
#   * Proper nouns that carry no meaning in Japanese either stay transliterated --			
"#     Mamel, Gazer, Chintala, Orochi."			
#			
"# THE CAPS ARE A DECREE, NOT A MEASUREMENT. See HANDOFF_NEXT.md §4."			
#			
"#   class item, appearance -> ITEM_CAP 16 cells"			
"#   class monster, npc     -> NAME_CAP 14 cells"			
#			
"# A combat line and the name substituted into it share the same 24-cell line, so widening"			
# a cap to fit a name quietly shortens every combat line in the game. If a name does not			
"# fit, REWORD THE NAME. `lint_en.py --glossary` fails the build on an over-cap name."			
#			
"# THE ITEM LIST AGREES, and this one IS measured (2026-08-04, `build/glossary_widest.png`)."			
"# The inventory box is 18 tiles wide and byte 0 is the cursor, so it holds 17 cells. A"			
"# 16-cell name renders complete and uncut, with one cell to spare:"			
#     python3 tools/menushot.py <rom> --index 0 --png out.png			
"# So 16 is the ceiling on both paths at once, and the decree and the box happen to agree."			
# Do not read that as slack -- 17 would fit the list and still truncate a combat line.			
#			
"# DUPLICATE JAPANESE IS NORMAL AND MUST STAY DUPLICATE. `くねくねハニー`, `オロチ`,"			
"# `いやしウサギ`, `ばくだんウニ`, `ぼうれいむしゃ` and `エーテルもどき` each appear at"			
# two or three tiers with the same name in Japanese; they keep one English name. What the			
# collision check forbids is the reverse -- two DIFFERENT Japanese names landing on the			
"# same English, which would make two monsters indistinguishable in a message."			
#			
# `New Weapon 3` and friends are unused placeholder slots (`しんきぶき3` = 新規武器3).			
# They are named rather than left Japanese so that a slot leaking on screen is legible.			
#			
"# THREE OF THESE WERE NOT IN THE SCRIPT UNTIL 2026-08-04 -- `きみょうなはこ`,"			
"# `エーテルもどき` and `アイアンヘッド`. `き` is code $11, which is `ld de,nn`, so a"			
# linear scan read the kana as an instruction and extract.py discarded the strings that			
"# ""contained a pointer operand"". See tools/extract.py `immediate_refs`."			
#			
# loc	class	jp	en
			
# ---------------------------------------------------------------- weapons			
11:$4012	item	こんぼう	Club
11:$4018	item	ながまき	Nagamaki
11:$401E	item	しんきぶき3	New Weapon 3
11:$4026	item	カタナ	Katana
11:$402A	item	ドラゴンキラー	Dragon Killer
11:$4034	item	どうたぬき	Dotanuki
11:$403B	item	マンジカブラ	Manjikabra
11:$4044	item	じょうぶつのカマ	Sickle
11:$404F	item	つるはし	Pickaxe
11:$4054	item	ひっちゅうのけん	Sure-Hit Sword
11:$405D	item	ミノタウロスのおの	Minotaur Axe
11:$4067	item	ヨウトウかまいたち	Kamaitachi Blade
11:$4071	item	ひとつめゴロシ	One-Eye Killer
11:$407A	item	ドレインバスター	Drain Buster
11:$4085	item	かじんフウマとう	Fuma Blade
11:$408F	item	ひけんカブラステギ	Kaburasutegi
11:$409B	item	マムルのけん	Mamel Sword
11:$40A2	item	しんきぶき2	New Weapon 2
			
# ---------------------------------------------------------------- shields			
11:$40AA	item	かわのたて	Leather Shield
11:$40B0	item	せいどうこうのたて	Bronze Shield
11:$40BB	item	もっこうのたて	Wooden Shield
11:$40C3	item	てっこうのたて	Iron Shield
11:$40CB	item	ドラゴンシールド	Dragon Shield
11:$40D7	item	フウマのたて	Fuma Shield
11:$40DE	item	バトルカウンター	Battle Counter
11:$40E8	item	じゅうそうのたて	Heavy Shield
11:$40F2	item	やまびこのたて	Echo Shield
11:$40FB	item	みきりのたて	Evasion Shield
11:$4102	item	ヒャッキのたて	Hyakki Shield
11:$410A	item	つかいすてのたて	One-Use Shield
11:$4113	item	じらいナバリのたて	Blast Shield
11:$411F	item	トドのたて	Todo Shield
11:$4126	item	らせんフウマのたて	Spiral Shield
11:$4130	item	マムルのたて	Mamel Shield
11:$4137	item	しんきたて2	New Shield 2
			
# ---------------------------------------------------------------- bracers			
11:$413E	item	つうかのうでわ	Passage Bracer
11:$4147	item	ねぎりのうでわ	Bargain Bracer
11:$4151	item	ハラヘラズのうでわ	No-Hunger Bracer
11:$415D	item	ハラヘリのうでわ	Hunger Bracer
11:$4167	item	かいふくのうでわ	Healing Bracer
11:$4171	item	サビよけのうでわ	Rustproof Bracer
11:$417C	item	かいしんのうでわ	Critical Bracer
11:$4186	item	つうこんのうでわ	Pain Bracer
11:$4190	item	のろいよけのうでわ	No-Curse Bracer
11:$419B	item	えんとうのうでわ	Throwing Bracer
11:$41A5	item	しあわせのうでわ	Happy Bracer
11:$41AF	item	たれながしのうでわ	Leaky Bracer
11:$41BB	item	とうしのうでわ	Insight Bracer
11:$41C4	item	こんらんよけのうでわ	Clarity Bracer
11:$41D0	item	しきべつのうでわ	ID Bracer
11:$41DB	item	しんきうでわ1	New Bracer 1
11:$41E4	item	しんきうでわ2	New Bracer 2
			
# ---------------------------------------------------------------- arrows and food			
11:$41ED	item	きのや	Wood Arrow
11:$41F1	item	てつのや	Iron Arrow
11:$41F6	item	ぎんのや	Silver Arrow
11:$41FC	item	おにぎり	Rice Ball
11:$4202	item	おおきいおにぎり	Big Rice Ball
11:$420C	item	くさったおにぎり	Rotten Rice Ball
11:$4216	item	きょだいなおにぎり	Huge Rice Ball
11:$4222	item	たまご	Egg
11:$4227	item	しんきしょくりょう1	New Food 1
			
# ---------------------------------------------------------------- herbs and seeds			
11:$4232	item	やくそう	Medical Herb
11:$4237	item	おとぎりそう	Otogiri Herb
11:$423F	item	しあわせそう	Happy Herb
11:$4246	item	めぐすりそう	Vision Herb
11:$424E	item	ドラゴンそう	Dragon Herb
11:$4257	item	むてきそう	Invincible Herb
11:$425D	item	てんしのたね	Angel Seed
11:$4264	item	ふっかつのくさ	Revival Herb
11:$426C	item	クネクネそう	Wriggle Herb
11:$4273	item	ふこうのたね	Unlucky Seed
11:$427A	item	ちょうふこうのたね	Cursed Seed
11:$4284	item	ものわすれのくさ	Amnesia Herb
11:$428D	item	いのちのくさ	Life Herb
11:$4294	item	いかくちょうのたね	Expansion Seed
11:$429E	item	いしゅくしょうのたね	Shrink Seed
11:$42A9	item	すばやさのたね	Speed Seed
11:$42B2	item	ちからのたね	Strength Seed
11:$42B9	item	どくけしそう	Antidote Herb
11:$42C1	item	どくそう	Poison Herb
11:$42C7	item	こんらんそう	Confusion Herb
11:$42CE	item	すいみんそう	Sleep Herb
11:$42D5	item	ざっそう	Weed
11:$42DB	item	たかとびそう	Escape Herb
11:$42E3	item	しんきくさ1	New Herb 1
			
# ---------------------------------------------------------------- scrolls			
11:$42EA	item	おはらいのまきもの	Purify Scroll
11:$42F4	item	しきべつのまきもの	Identify Scroll
11:$42FF	item	あかりのまきもの	Light Scroll
11:$4308	item	つぼぞうだいのまきもの	Big Pot Scroll
11:$4317	item	しんくうぎりのまきもの	Air Slash Scroll
11:$4324	item	くちなしのまきもの	Silence Scroll
11:$432E	item	ひきあげのまきもの	Return Scroll
11:$4339	item	こまったときのまきもの	Crisis Scroll
11:$4345	item	てきばいそくのまきもの	Fast Foe Scroll
11:$4352	item	バクスイのまきもの	Slumber Scroll
11:$435D	item	パワーアップのまきもの	Power-Up Scroll
11:$436B	item	ぜんめつのまきもの	Wipeout Scroll
11:$4376	item	じばくのまきもの	Detonate Scroll
11:$4381	item	おおべやのまきもの	Big Room Scroll
11:$438C	item	モンスターハウスのまきもの	Ambush Scroll
11:$439A	item	こんらんのまきもの	Confusion Scroll
11:$43A4	item	ジェノサイドのまきもの	Genocide Scroll
11:$43B2	item	はくしのまきもの	Blank Scroll
11:$43BB	item	まいごのまきもの	Lost Scroll
11:$43C5	item	てんのめぐみのまきもの	Heaven Scroll
