# Which copy loop reads which pointer table -- the ATTRIBUTION that decides whether a
# relocatable string may be redirected into the pool.
#
# A redirected string's bytes become a four-byte record. A loop that has not been taught
# the record copies those four bytes and stops: two stray glyphs, no crash. Benign, but
# SILENT, and no reference check or crash seed can see it. So build.py redirects a string
# only when every table that points at it appears below AND the site named is hooked
# (tools/pool.py RELOC_SITES).
#
# Generated by `tools/readers.py <rom> --seeds 6 --write`, then reviewed and committed --
# a declared list, like script/box_alias.tsv, for the same reason: a claim someone made and
# can re-measure, not something inferred from what a ROM scan happens to see.
#
# GENERALISATION, stated because it is the one assumption here: a pointer table is indexed
# by ONE loop, so observing any single entry attributes the whole table. What would break
# it is a table read by two loops, which is why readers.py reports every site it sees
# against a table rather than the first, and why an entry here names exactly one site.
#
# kind  key           site        what
# BANK 11 IS BACK ON (2026-07-31, later the same day). It was taken out because
# `build.py --shuffle` -- packing order changed and nothing else -- hung the game on 4 of 4
# seeds at `0:$2337`, which was read as "bank 11 holds an address-sensitive dependency no
# reference scan sees". IT DOES NOT. The dependency was in the reference scan.
#
# `0:$22BD` is byte 17 of the 24-byte state-transition table at `$22AC` that
# `0:$2274 ld hl,$22AC / add hl,bc / ld a,[hl]` indexes. Its bytes `01 02 42` decode as
# `ld bc,$4202`, extract.py recorded that as a reference to 11:$4202, and build.py duly
# rewrote the two table entries on every build. Address-order first-fit kept landing
# 11:$4202 back at $4202, so the write was a no-op and nobody saw it; under --shuffle the
# entry's low nibble steers the machine into state 5, `0:$2337 jr $2337`. Restoring those
# two bytes in the hung ROM makes 4 of 4 seeds pass.
#
# extract.py now requires a bank-0 `ld bc,$4xxx` to reach `call $028B` before it counts as
# a reference, which is what all 24 real ones do and $22BD cannot. `--shuffle` + crashscan
# is clean on bank 11, so its text IS freely relocatable and these two tables are live.
table	11:$4537	11:$52BC	bank 11 raw copy until $FF
table	11:$4FC4	11:$52BC	bank 11 raw copy until $FF
# 11:$52E0 is NOT here: its reader 11:$52D5 is the seven bytes the DTE expander
# already owns (raw_copy), so a trampoline call there would be overwritten. See
# tools/pool.py RELOC_SITES.
table	14:$7C30	14:$7C1E	bank 14 table copy
table	11:$4A60	13:$40DB	bank 13 message composer
#
# 13:$554A is the ONE table here read by more than one loop, so it is the one place the
# per-table generalisation above has to be argued rather than assumed. It has three
# readers and they were enumerated from the ROM, not sampled:
#
#   13:$7D90  publishes one message-queue address per line   -- transparent, no hook
#   13:$7DE8  counts units to $C6BD                          -- transparent, no hook
#   13:$7E49  renders a unit into [de]                       -- HOOKED at 13:$7E4C
#
# The first two need no hook for the same reason 13:$7DBD and 13:$7E2F did not: they test
# only $EE/$EF/$FF, and a record run reproduces the original line layout terminator for
# terminator, so both see the same number of lines in the same places. The third one
# interprets the bytes, so it gets the hook -- and the site named below is where it calls
# its resolver, which is why RELOC_EXPECT wants a `call` there and not a copy loop.
table	13:$554A	13:$7E4C	the help renderer, via 13:$7E49
#
# The message queue, as a RULE rather than 241 rows. An `imm` reference is a 16-bit
# immediate loaded by code in another bank (0, 4, 5, 6, 15, 31), and the address is
# bank-13 relative, so whatever consumes it must run in bank 13. Every one of the 25
# distinct imm sites a trace has reached was consumed by the composer, and none by
# anything else. `readers.py --check` re-measures it and FAILS if it ever sees an
# imm-referenced bank-13 string read at another site -- that is what makes this a claim
# with a falsifier rather than an assumption.
imm	target:13	13:$40DB	the message queue -> 13:$404A -> the composer
