# Vertical-slice translations: main menu + difficulty + first dungeon.
# KEY IS `loc` (bank:$addr), NOT the sequential id -- ids are reassigned by sorted
# offset, so any change to extraction renumbers them and silently shifts the file.
# The budget is SCREEN CELLS, not bytes; insert.py/build.py prepend the cursor space.
# loc	english
11:$5330	Journey
11:$533B	New Log
11:$5344	Copy
11:$534D	Erase
11:$5355	Rename
11:$535E	Rank/Pass
11:$536E	Sort
11:$5374	Fay's Puzzles
11:$53A1	Easy
11:$53A6	Mid
11:$53AA	Hard
11:$53B1	Moon
