id	loc	bytes	jp	en
0	3:$4E4F	4	ゃす<name>６	
1	4:$4AFE	3	おかね	
2	11:$4012	5	こんぼう	
3	11:$4018	5	ながまき	
4	11:$401E	7	しんきぶき3	
5	11:$4026	3	カタナ	
6	11:$402A	9	ドラゴンキラー	
7	11:$4034	6	どうたぬき	
8	11:$403B	8	マンジカブラ	
9	11:$4044	10	じょうぶつのカマ	
10	11:$404F	4	つるはし	
11	11:$4054	8	ひっちゅうのけん	
12	11:$405D	9	ミノタウロスのおの	
13	11:$4067	9	ヨウトウかまいたち	
14	11:$4071	8	ひとつめゴロシ	
15	11:$407A	10	ドレインバスター	
16	11:$4085	9	かじんフウマとう	
17	11:$408F	11	ひけんカブラステギ	
18	11:$409B	6	マムルのけん	
19	11:$40A2	7	しんきぶき2	
20	11:$40AA	5	かわのたて	
21	11:$40B0	10	せいどうこうのたて	
22	11:$40BB	7	もっこうのたて	
23	11:$40C3	7	てっこうのたて	
24	11:$40CB	11	ドラゴンシールド	
25	11:$40D7	6	フウマのたて	
26	11:$40DE	9	バトルカウンター	
27	11:$40E8	9	じゅうそうのたて	
28	11:$40F2	8	やまびこのたて	
29	11:$40FB	6	みきりのたて	
30	11:$4102	7	ヒャッキのたて	
31	11:$410A	8	つかいすてのたて	
32	11:$4113	11	じらいナバリのたて	
33	11:$411F	6	トドのたて	
34	11:$4126	9	らせんフウマのたて	
35	11:$4130	6	マムルのたて	
36	11:$4137	6	しんきたて2	
37	11:$413E	8	つうかのうでわ	
38	11:$4147	9	ねぎりのうでわ	
39	11:$4151	11	ハラヘラズのうでわ	
40	11:$415D	9	ハラヘリのうでわ	
41	11:$4167	9	かいふくのうでわ	
42	11:$4171	10	サビよけのうでわ	
43	11:$417C	9	かいしんのうでわ	
44	11:$4186	9	つうこんのうでわ	
45	11:$4190	10	のろいよけのうでわ	
46	11:$419B	9	えんとうのうでわ	
47	11:$41A5	9	しあわせのうでわ	
48	11:$41AF	11	たれながしのうでわ	
49	11:$41BB	8	とうしのうでわ	
50	11:$41C4	11	こんらんよけのうでわ	
51	11:$41D0	10	しきべつのうでわ	
52	11:$41DB	8	しんきうでわ1	
53	11:$41E4	8	しんきうでわ2	
54	11:$41ED	3	きのや	
55	11:$41F1	4	てつのや	
56	11:$41F6	5	ぎんのや	
57	11:$41FC	5	おにぎり	
58	11:$4202	9	おおきいおにぎり	
59	11:$420C	9	くさったおにぎり	
60	11:$4216	11	きょだいなおにぎり	
61	11:$4222	4	たまご	
62	11:$4227	10	しんきしょくりょう1	
63	11:$4232	4	やくそう	
64	11:$4237	7	おとぎりそう	
65	11:$423F	6	しあわせそう	
66	11:$4246	7	めぐすりそう	
67	11:$424E	8	ドラゴンそう	
68	11:$4257	5	むてきそう	
69	11:$425D	6	てんしのたね	
70	11:$4264	7	ふっかつのくさ	
71	11:$426C	6	クネクネそう	
72	11:$4273	6	ふこうのたね	
73	11:$427A	9	ちょうふこうのたね	
